Year,Trans_suite_no_prior_tadz,Trans_suite_converted_year,Trans_suite_total,Trans_stand_alone,Trans_blue,Trans_total,Stream_suite_converted_from_stand_alone_in_year,Stream_suite_existing,Stream_suite_total,Stream_stand_alone_continuing,Stream_stand_alone_converted_to_suite_in_year,Stream_stand_alone_total,Stream_blue,Stream_total,Revenue_total
2013,0,0,0,12.37116296,2.2,14.57116296,0,0,0,0,0,17.0548042,5.2,22.2548042,36.82596716
2014,0,0,2.373141295,8.0517354,2.2,12.6248767,0,0,0.06866209,0,0,19.62730664,5.3,24.99596873,37.62084543
2015,0,0,3.8,3.5,2,9.3,0,0,0.9,0,0,14.3,6,21.2,30.5
2016,0,0,3.8,3.3,1.9,9,0,0,1,0,0,13.6,5.7,20.3,29.3
2017,3.61,3.54977,7.15977,3.135,1.805,12.09977,0.9044,0.95,1.8544,12.92,-3.23,9.69,5.415,16.9594,29.05917
2018,3.4295,2.529211125,5.958711125,2.97825,1.71475,10.65171113,0.644385,1.76168,2.406065,9.2055,-2.301375,6.904125,5.14425,14.45444,25.10615113
2019,3.258025,1.802062927,5.060087927,2.8293375,1.6290125,9.518437927,0.459124313,2.28576175,2.744886063,6.55891875,-1.639729688,4.919189063,4.8870375,12.55111263,22.06955055
2020,3.09512375,1.283969835,4.379093585,2.687870625,1.547561875,8.614526085,0.327126073,2.171473663,2.498599735,4.673229609,-1.168307402,3.504922207,4.642685625,10.64620757,19.26073365
2021,2.940367563,0.914828508,3.85519607,2.553477094,1.470183781,7.878856945,0.233077327,2.062899979,2.295977306,3.329676097,-0.832419024,2.497257073,4.410551344,9.203785722,17.08264267
2022,2.793349184,0.651815312,3.445164496,2.425803239,1.396674592,7.267642327,0.166067595,1.95975498,2.125822576,2.372394219,-0.593098555,1.779295664,4.190023777,8.095142016,15.36278434
2023,2.653681725,0.46441841,3.118100135,2.304513077,1.326840863,6.749454074,0.118323162,1.861767231,1.980090393,1.690330881,-0.42258272,1.267748161,3.980522588,7.228361142,13.97781522
2024,2.520997639,0.330898117,2.851895756,2.189287423,1.260498819,6.301681998,0.084305253,1.76867887,1.852984123,1.204360753,-0.301090188,0.903270565,3.781496458,6.537751145,12.83943314
2025,2.394947757,0.235764908,2.630712665,2.079823052,1.197473878,5.908009596,0.060067493,1.680244926,1.740312419,0.858107036,-0.214526759,0.643580277,3.592421635,5.976314332,11.88432393
2026,2.275200369,0.167982497,2.443182866,1.975831899,1.137600185,5.55661495,0.042798088,1.59623268,1.639030768,0.611401263,-0.152850316,0.458550948,3.412800554,5.51038227,11.06699722
2027,2.161440351,0.119687529,2.28112788,1.877040305,1.080720175,5.23888836,0.030493638,1.516421046,1.546914684,0.4356234,-0.10890585,0.32671755,3.242160526,5.11579276,10.35468112
2028,2.053368333,0.085277365,2.138645698,1.783188289,1.026684167,4.948518154,0.021726717,1.440599994,1.462326711,0.310381673,-0.077595418,0.232786254,3.0800525,4.775165465,9.723683618
2029,1.950699916,0.060760122,2.011460039,1.694028875,0.975349958,4.680838872,0.015480286,1.368569994,1.38405028,0.221146942,-0.055286735,0.165860206,2.926049875,4.475960361,9.156799233
2030,1.853164921,0.043291587,1.896456508,1.609327431,0.92658246,4.432366399,0.011029704,1.300141494,1.311171198,0.157567196,-0.039391799,0.118175397,2.779747381,4.209093976,8.641460375
2031,1.760506675,0.030845256,1.79135193,1.52886106,0.880253337,4.200466327,0.007858664,1.23513442,1.242993084,0.112266627,-0.028066657,0.08419997,2.640760012,3.967953066,8.168419393
